"GoogleListedManufacturer","GoogleListedModel","Status","CertifiedSinceVersion","EndOfSupport","DeviceManufacturerPattern","DeviceModelPattern","DeviceManufacturerPatternConfirmed","DeviceModelPatternConfirmed","Comments"
"ASUS","Asus ExpertBook B1500CEA","Certified","121","2030","ASUSTeK COMPUTER INC.","ASUS EXPERTBOOK B1500CEAEY_B1500CEAE","TRUE","TRUE",""
"Dell","Dell Inspiron 3505","Certified","103","2030","Dell Inc.","Inspiron 3505","TRUE","TRUE",""
"Dell","Dell Latitude 3189","Certified","103","2027","Dell Inc.","Latitude 3189","TRUE","TRUE",""
"Dell","Dell Latitude 3190","Certified","103","2028","Dell Inc.","Latitude 3190","TRUE","TRUE",""
"Dell","Dell Latitude 3190 2-in-1","Certified","103","2028","Dell Inc.","Latitude 3190 2-in-1","TRUE","TRUE",""
"Dell","Dell Latitude 3300","Certified","103","2028","Dell Inc.","Latitude 3300","TRUE","TRUE",""
"Dell","Dell Latitude 3310","Certified","115","2028","Dell Inc.","Latitude 3310","TRUE","TRUE",""
"Dell","Dell Latitude 3340","Certified","103","2026","Dell Inc.","Latitude 3340","TRUE","TRUE",""
"Dell","Dell Latitude 3400","Certified","103","2028","Dell Inc.","Latitude 3400","TRUE","TRUE",""
"Dell","Dell Latitude 3410","Certified","103","2028","Dell Inc.","Latitude 3410","TRUE","TRUE",""
"Dell","Dell Latitude 3420","Certified","103","2030","Dell Inc.","Latitude 3420","TRUE","TRUE",""
"Dell","Dell Latitude 3440 (2014)","Certified","103","2026","Dell Inc.","Latitude 3440","TRUE","TRUE",""
"Dell","Dell Latitude 3440 (Intel 13th Gen)","Certified","136","2032","Dell Inc.","Latitude 3440","TRUE","TRUE",""
"Dell","Dell Latitude 3450","Certified","103","2027","Dell Inc.","Latitude 3450","TRUE","TRUE",""
"Dell","Dell Latitude 3460","Certified","103","2027","Dell Inc.","Latitude 3460","TRUE","TRUE",""
"Dell","Dell Latitude 3480","Certified","103","2027","Dell Inc.","Latitude 3480","TRUE","TRUE",""
"Dell","Dell Latitude 3510","Certified","103","2028","Dell Inc.","Latitude 3510","TRUE","TRUE",""
"Dell","Dell Latitude 3520","Certified","120","2030","Dell Inc.","Latitude 3520","TRUE","TRUE",""
"Dell","Dell Latitude 3540","Certified","134","2032","Dell Inc.","Latitude 3540","TRUE","TRUE",""
"Dell","Dell Latitude 3550","Certified","111","2027","Dell Inc.","Latitude 3550","TRUE","TRUE",""
"Dell","Dell Latitude 5290","Certified","103","2028","Dell Inc.","Latitude 5290","TRUE","TRUE",""
"Dell","Dell Latitude 5300 2-in-1","Certified","103","2028","Dell Inc.","Latitude 5300 2-in-1","TRUE","TRUE",""
