GoogleListedManufacturer,GoogleListedModel,Status,CertifiedSinceVersion,EndOfSupport,DeviceManufacturerPattern,DeviceModelPattern,DeviceManufacturerPatternConfirmed,DeviceModelPatternConfirmed,Comments
Acer,Acer Aspire 3 A315,Certified,103,2030,,,FALSE,FALSE,
Acer,Acer Aspire E3-111,Certified,103,2026,,,FALSE,FALSE,
Acer,Acer Aspire One 11 AO1-132,Certified,103,2027,,,FALSE,FALSE,
Acer,Acer Aspire V5 131,Certified,103,2025,,,FALSE,FALSE,
Acer,Acer Aspire V5-122P,Certified,103,2026,,,FALSE,FALSE,
Acer,Acer E220 Veriton M26X2G,Certified,123,2029,,,FALSE,FALSE,
Acer,Acer One 11 Z8-284,Certified,117,2029,,,FALSE,FALSE,
Acer,Acer One 14 Z2-485,Certified,103,2028,,,FALSE,FALSE,
Acer,Acer R3-131T,Certified,103,2027,,,FALSE,FALSE,
Acer,Acer Travelmate B113-E,Certified,103,2027,,,FALSE,FALSE,
Acer,Acer Travelmate B113-M,Decertified,103,2024,,,FALSE,FALSE,
Acer,Acer TravelMate B115-MP,Certified,103,2026,,,FALSE,FALSE,
Acer,Acer TravelMate B3 11R-31,Certified,103,2028,,,FALSE,FALSE,
Acer,Acer TravelMate B3 B311,Certified,103,2028,,,FALSE,FALSE,
Acer,Acer TravelMate P214,Certified,103,2030,,,FALSE,FALSE,
Acer,Acer TravelMate P459-G2-M,Certified,103,2028,,,FALSE,FALSE,
Acer,Acer TravelMate Spin B118-G2-RN,Certified,103,2028,,,FALSE,FALSE,
Acer,Acer TravelMate Spin B118-RN,Certified,103,2028,,,FALSE,FALSE,
Acer,Acer TravelMate Spin B3 TMB311R,Certified,110,2028,,,FALSE,FALSE,
Acer,Acer Veriton L4630G,Certified,103,2026,,,FALSE,FALSE,
Acer,Acer Veriton S2690G,Certified,118,2030,,,FALSE,FALSE,
Acer,Acer VN4640G,Certified,111,2027,,,FALSE,FALSE,
Advantech,Advantech ARK-1125H,Certified,123,2030,,,FALSE,FALSE,
Advantech,Advantech DS-085,Certified,103,2030,,,FALSE,FALSE,
Advantech,Advantech DS-202,Certified,127,2029,,,FALSE,FALSE,
Advantech,Advantech DS-410,Certified,110,2029,,,FALSE,FALSE,
Advantech,Advantech DS-570,Certified,103,2026,,,FALSE,FALSE,
Advantech,Advantech PPC-3150SW,Certified,105,2028,,,FALSE,FALSE,
Advantech,Advantech USC-360H,Certified,129,2030,,,FALSE,FALSE,
Advantech,Advantech USC-360J,Certified,134,2029,,,FALSE,FALSE,
Advantech,Advantech UTC-115G,Certified,119,2028,,,FALSE,FALSE,
Advantech,Advantech UTC-120G,Certified,110,2028,,,FALSE,FALSE,
Advantech,Advantech UTC-120K,Certified,129,2030,,,FALSE,FALSE,
Advantech,Advantech UTC-124G3,Certified,111,2028,,,FALSE,FALSE,
Advantech,Advantech UTC-124l,Certified,134,2029,,,FALSE,FALSE,
Advantech,Advantech UTC-320K,Certified,136,2030,,,FALSE,FALSE,
Advantech,Advantech UTC-520F,Certified,103,2027,,,FALSE,FALSE,
Advantech,Advantech UTC-520J,Certified,118,2030,,,FALSE,FALSE,
AOPEN,AOPEN DE3450,Certified,103,2028,,,FALSE,FALSE,
AOPEN,AOPEN DE3650,Certified,107,2029,,,FALSE,FALSE,
AOPEN,AOPEN DE3650S,Certified,107,2029,,,FALSE,FALSE,
AOPEN,AOPEN DE6340,Certified,126,2029,,,FALSE,FALSE,
AOPEN,AOPEN DEX5750,Certified,103,2030,,,FALSE,FALSE,
AOPEN,AOPEN eTILE 15M-FP2,Certified,114,2028,,,FALSE,FALSE,
AOPEN,AOPEN eTILE 19M AIO,Certified,103,2028,,,FALSE,FALSE,
AOPEN,AOPEN ST100,Certified,129,2028,,,FALSE,FALSE,
AOPEN,AOPEN WB5116,Certified,116,2030,,,FALSE,FALSE,
Apple,"Apple iMac 11,2",Decertified,103,2024,,,FALSE,FALSE,
Apple,"Apple iMac 12,1",Decertified,,2024,,,FALSE,FALSE,
Apple,"Apple Mac Mini 7,1",Certified,103,2026,,,FALSE,FALSE,
Apple,"Apple Macbook Air 5,1",Certified,103,2025,,,FALSE,FALSE,
Apple,"Apple MacBook Air 6,1",Certified,103,2026,,,FALSE,FALSE,
Apple,"Apple Macbook Air 7,2",Certified,103,2027,,,FALSE,FALSE,
Apple,"Apple Macbook Pro 11,2",Certified,103,2025,,,FALSE,FALSE,
Apple,"Apple Macbook Pro 9,2",Certified,103,2025,,,FALSE,FALSE,
ASUS,ASUS B5402FEA,Certified,130,2030,,,FALSE,FALSE,
ASUS,ASUS B5402FVA,Certified,130,2032,,,FALSE,FALSE,
ASUS,ASUS BR1100CKA,Certified,111,2029,,,FALSE,FALSE,
ASUS,ASUS BR1100FK,Certified,110,2029,,,FALSE,FALSE,
ASUS,ASUS EeeBook E402SA,Certified,103,2029,,,FALSE,FALSE,
ASUS,Asus ExpertBook B1500CEA,Certified,121,2030,ASUSTeK COMPUTER INC.,ASUS EXPERTBOOK B1500CEAEY_B1500CEAE,TRUE,TRUE,
ASUS,Asus ExpertBook B1502CBA,Certified,125,2030,,,FALSE,FALSE,
ASUS,Asus Expertbook B1502CVA,Certified,135,2032,,,FALSE,FALSE,
ASUS,ASUS ExpertCenter D700MD,Certified,118,2030,,,FALSE,FALSE,
ASUS,Asus ExpertCenter D700SD,Certified,120,2030,,,FALSE,FALSE,
ASUS,ASUS ExpertCenter E5 24 AiO,Certified,114,2030,,,FALSE,FALSE,
ASUS,ASUS Mini PC PL64,Certified,116,2030,,,FALSE,FALSE,
ASUS,ASUS Mini PC PN41,Certified,108,2029,,,FALSE,FALSE,
ASUS,ASUS Mini PC PN64,Certified,119,2030,,,FALSE,FALSE,
ASUS,ASUS NUC 14 Pro,Certified,129,2032,,,FALSE,FALSE,
ASUS,Asus P1512CEA,Certified,122,2030,,,FALSE,FALSE,
ASUS,Asus PN43-S1,Certified,128,2030,,,FALSE,FALSE,
ASUS,Asus Prime J4005I-C,Certified,127,2028,,,FALSE,FALSE,
ASUS,ASUS Vivobook Flip 14 TP401NA,Certified,103,2028,,,FALSE,FALSE,
ASUS,ASUS VivoBook L203MA,Certified,103,2028,,,FALSE,FALSE,
ASUS,ASUS x200m,Certified,103,2026,,,FALSE,FALSE,
ASUS,ASUS X401U,Decertified,103,2024,,,FALSE,FALSE,
ASUS,ASUS X55C,Decertified,103,2024,,,FALSE,FALSE,
ASUS,ASUS Zenbook Flip UX360CA,Certified,103,2027,,,FALSE,FALSE,
Atrust,Atrust t20W,Certified,124,2028,,,FALSE,FALSE,
Atrust,Atrust t21W,Certified,124,2029,,,FALSE,FALSE,
Axiomtek,Axiomtek DSP-501,Certified,134,2028,,,FALSE,FALSE,
Azulle,Azulle Access 4,Certified,108,2028,,,FALSE,FALSE,
